Planet,eclipse_observed,b_occ_median,k_nominal,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,dominant_regime
LHS1678d,False,0.772,0.0273,0.0053,0.0038,0.9909,True Eclipse
TOI-1685b,False,0.46,0.0317,0.0,0.0003,0.9997,True Eclipse
HATS-10b,False,0.3178,0.0903,0.0,0.0023,0.9977,True Eclipse
AUMicb,False,0.1601,0.0488,0.0,0.0,1.0,True Eclipse
TOI-1410.01,False,0.5494,0.0376,0.0056,0.0023,0.9921,True Eclipse
HD152843c,False,0.4913,0.0376,0.0,0.0026,0.9974,True Eclipse
LTT1445Ab,True,0.3082,0.0458,0.0051,0.0019,0.993,True Eclipse
TOI-3071b,False,0.5397,0.05,0.0083,0.0019,0.9899,True Eclipse
KELT-11b,False,0.4077,0.0514,0.0,0.0,1.0,True Eclipse
TOI-178e,False,0.5649,0.0311,0.0068,0.002,0.9912,True Eclipse
TOI-178g,False,0.845,0.0404,0.0891,0.0828,0.8281,True Eclipse
TOI-2207b,False,0.2473,0.0654,0.0,0.003,0.997,True Eclipse
TOI-244b,False,0.7936,0.0326,0.0837,0.0617,0.8546,True Eclipse
TOI-913b,False,0.3896,0.0306,0.0176,0.008,0.9744,True Eclipse
GJ357b,False,0.293,0.0309,0.0083,0.0006,0.9911,True Eclipse
LHS1140b,False,0.2147,0.0735,0.0,0.0,1.0,True Eclipse
LHS1140c,True,0.0975,0.054,0.0,0.0,1.0,True Eclipse
TOI-2969b,False,0.6908,0.1613,0.0087,0.1204,0.8708,True Eclipse
TOI-2989b,False,0.3406,0.152,0.0,0.0028,0.9972,True Eclipse
TOI-5300b,False,0.1325,0.1389,0.0,0.0,1.0,True Eclipse
MASCARA-4b,False,0.2936,0.0869,0.0,0.0,1.0,True Eclipse
TOI-1468b,True,0.4615,0.0346,0.0,0.0,1.0,True Eclipse
TOI-1468c,False,0.7097,0.0526,0.0136,0.0356,0.9508,True Eclipse
TOI-470b,False,0.2799,0.0477,0.0075,0.0014,0.9911,True Eclipse
TOI-4600b,False,0.3426,0.0769,0.0062,0.0028,0.991,True Eclipse
LP791-18d,False,0.2844,0.0519,0.0,0.0,1.0,True Eclipse
TOI-5319b,False,0.2984,0.0609,0.0058,0.0025,0.9917,True Eclipse
SPECULOOS-3b,False,0.1254,0.0727,0.0,0.0,1.0,True Eclipse
K2-260b,False,0.0845,0.0962,0.0,0.0,1.0,True Eclipse
WASP-85Ab,False,0.0482,0.1363,0.0,0.0,1.0,True Eclipse
WASP-157b,False,0.8745,0.0965,0.1006,0.3176,0.5818,True Eclipse
WASP-25b,False,0.364,0.1374,0.0,0.0065,0.9935,True Eclipse
TOI-3894b,False,0.7223,0.093,0.0,0.0086,0.9914,True Eclipse
KELT-1b,True,0.2306,0.0774,0.0,0.0,1.0,True Eclipse
HD28109c,False,0.3455,0.0263,0.0,0.0,1.0,True Eclipse
TOI-1478b,False,0.4794,0.104,0.0,0.0004,0.9996,True Eclipse
WASP-48b,False,0.7045,0.0976,0.0105,0.0717,0.9178,True Eclipse
WASP-12b,True,0.3407,0.1178,0.0,0.0,1.0,True Eclipse
TOI-771b,False,0.2438,0.0537,0.0,0.0,1.0,True Eclipse
WASP-154b,False,0.2959,0.12,0.0,0.0,1.0,True Eclipse
TOI-1136e,False,0.3546,0.025,0.0,0.0,1.0,True Eclipse
WASP-71b,False,0.3648,0.0664,0.0062,0.0024,0.9914,True Eclipse
LHS3844b,False,0.1786,0.0635,0.0,0.0,1.0,True Eclipse
K2-32b,False,0.3396,0.0564,0.0,0.0034,0.9966,True Eclipse
TOI-5005b,False,0.1264,0.0616,0.0,0.0,1.0,True Eclipse
K2-32c,False,0.3684,0.0334,0.0049,0.0018,0.9933,True Eclipse
HD63935b,False,0.4783,0.0285,0.0005,0.002,0.9975,True Eclipse
CoRoT-19b,False,0.2327,0.0786,0.0,0.0,1.0,True Eclipse
HD189733b,True,0.644,0.1504,0.0032,0.042,0.9548,True Eclipse
KELT-17b,False,0.553,0.0953,0.0032,0.0054,0.9914,True Eclipse
TOI-1260b,False,0.1884,0.0329,0.0,0.0,1.0,True Eclipse
WASP-79b,True,0.4893,0.1041,0.0,0.0045,0.9955,True Eclipse
TOI-561c,False,0.1364,0.0316,0.0,0.0,1.0,True Eclipse
K2-139b,False,0.3333,0.0961,0.0059,0.0034,0.9906,True Eclipse
Qatar-5b,False,0.1753,0.1061,0.0,0.0,1.0,True Eclipse
TOI-431b,True,0.3181,0.0161,0.0,0.0,0.0,False Eclipse
HATS-60b,False,0.4381,0.0811,0.0,0.0014,0.9986,True Eclipse
WASP-55b,False,0.0719,0.1254,0.0,0.0,1.0,True Eclipse
WASP-33b,True,0.2066,0.1118,0.0,0.0,1.0,True Eclipse
TOI-2152Ab,False,0.4303,0.0816,0.0039,0.0037,0.9924,True Eclipse
Qatar-6b,False,0.895,0.1516,0.0002,0.7859,0.214,Grazing Eclipse
K2-36c,False,0.8467,0.0412,0.086,0.0768,0.8371,True Eclipse
WASP-155b,False,0.4202,0.0997,0.0,0.0004,0.9996,True Eclipse
HATS-25b,False,0.5106,0.1171,0.0067,0.0186,0.9747,True Eclipse
HAT-P-9b,False,0.5412,0.107,0.0,0.0,1.0,True Eclipse
WASP-178b,False,0.6092,0.1107,0.0048,0.0202,0.975,True Eclipse
TOI-500b,False,0.5102,0.0158,0.0061,0.0013,0.9927,True Eclipse
WASP-54b,False,0.5401,0.0927,0.0,0.0,1.0,True Eclipse
GJ3470b,True,0.2781,0.0764,0.0,0.0,1.0,True Eclipse
WASP-58b,False,0.4405,0.1203,0.0182,0.0608,0.921,True Eclipse
Kepler-1656b,False,0.4652,0.0419,0.0411,0.0236,0.9352,True Eclipse
NGTS-12b,False,0.19,0.0678,0.0,0.001,0.999,True Eclipse
TOI-277b,False,0.2954,0.0671,0.0,0.0,0.0,False Eclipse
TOI-6038Ab,False,0.159,0.0357,0.0,0.0,1.0,True Eclipse
WASP-123b,False,0.5058,0.1054,0.0047,0.0047,0.9906,True Eclipse
