Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction,Star Name,Star Temperature [K],Star H Mag,Star J Mag,Planet Period [days],Eccentricity,Inclination,Impact Parameter,Transit Depth [%],Planet Radius [Rjup],Planet Radius [Re],observed_flag
TOI-2906.01,TPC,,0.000428416097147,-0.0788218501982353,0.0859982982612175,0.0858986779674065,0.0792502662953823,0.0855698821640705,0.117940663,1.117940663,1,Premium (non-grazing),0.4965,TOI-2906,6524.0,11.892,12.157,3.7062792,0,90,0,1.391,1.253999223,14.05605313,False
TOI-2908.01,TPC,,0.0045058715026891,-0.1067512889850161,0.1183100875252261,0.1190565937281419,0.1112571604877052,0.1138042160225369,0.055407581,1.055407581,1,Premium (non-grazing),0.4951041666666667,TOI-2908,6788.0,11.781,12.052,5.4631023,0,90,0,0.307,0.569929396,6.388327618,False
TOI-2909.01,TPC,,0.0020090183389072,-0.0491746782056276,0.0519870680371658,0.053668741855502,0.0511836965445349,0.0499780496982585,0.054863467,1.054863467,1,Premium (non-grazing),0.4969999999999999,TOI-2909,7776.7,10.795,10.914,3.0688259,0,90,0,0.301,0.875571572,9.81426488,False
TOI-2912.01,TPC,,-0.0025844499460681,-0.0892238227965721,0.0889694454926998,0.093697207683822,0.0866393728505039,0.091553895438768,0.064807407,1.064807407,1,Premium (non-grazing),0.4958437499999999,TOI-2912,6614.0,10.568,10.815,8.7614828,0,90,0,0.42,1.153057363,12.92459776,False
TOI-2914.01,TPC,,0.0014682550397913,-0.0441973529644654,0.0475546630992408,0.0483897932593172,0.0456656080042568,0.0460864080594494,0.076390866,1.076390866,1,Premium (non-grazing),0.49865625,TOI-2914,7902.0,12.285,12.493,3.0515894,0,90,0,0.583556437,1.444333928,16.18951117,False
TOI-2916.01,TPC,,-0.0018983141005568,-0.1035275878762523,0.0969107776265442,0.1046085150490111,0.1016292737756955,0.098809091727101,0.13190906,1.13190906,1,Premium (non-grazing),0.4987499999999999,TOI-2916,6706.0,12.192,12.454,3.9216762,0,90,0,1.74,1.231462639,13.80344099,False
TOI-2919.01,TPC,,0.0011072638119356,-0.1055406840624856,0.1089232102929062,0.1125594690519172,0.1066479478744212,0.1078159464809706,0.117473401,1.117473401,1,Premium (non-grazing),0.4968125,TOI-2919,5475.0,11.399,11.791,4.6957057,0,90,0,1.38,1.012320818,11.34708454,False
TOI-2920.01,TPC,,-0.0003241813539196,-0.0560087666244431,0.0521499036561395,0.057441701560121,0.0556845852705234,0.0524740850100592,0.127749755,1.127749755,1,Premium (non-grazing),0.49796875,TOI-2920,6060.0,11.827,12.091,3.2003149,0,90,0,1.632,1.741471087,19.52011585,False
TOI-2921.01,TPC,,0.0016092046378607,-0.0581621361193477,0.0619181267369272,0.0638396820951209,0.0597713407572085,0.0603089220990665,0.104880885,1.104880885,1,Premium (non-grazing),0.4931041666666667,TOI-2921,6302.0,12.068,12.302,3.0044799,0,90,0,1.1,1.279450084,14.34133134,False
TOI-2923.01,TPC,,-0.0002147231192785,-0.0768501391958132,0.0772350863932081,0.081905788889389,0.0766354160765347,0.0774498095124866,0.095341491,1.095341491,1,Premium (non-grazing),0.4994270833333333,TOI-2923,6153.0,11.968,12.223,4.3226285,0,90,0,0.909,1.15688069,12.96745336,False
TOI-2924.01,TPC,,0.0025012002235618,-0.1064052847977273,0.1096686957051577,0.1132590358113255,0.1089064850212891,0.1071674954815958,0.07567452,1.07567452,1,Premium (non-grazing),0.4972499999999999,TOI-2924,6571.0,11.338,11.516,7.3498345,0,90,0,0.572663294,0.992042289,11.1197829,False
TOI-2925.01,TPC,,0.0012952951523972,-0.0346339547203113,0.0373681427954446,0.0378337569008786,0.0359292498727086,0.0360728476430473,0.052249402,1.052249402,1,Premium (non-grazing),0.4974583333333333,TOI-2925,7164.0,10.668,10.914,1.5720089,0,90,0,0.273,0.768685766,8.61618394,False
TOI-2928.01,TPC,,-0.0016037378992637,-0.0628393523811031,0.0624527400848574,0.0647706034897616,0.0612356144818393,0.0640564779841211,0.083964278,1.083964278,1,Premium (non-grazing),0.49953125,TOI-2928,6910.0,12.04,12.337,2.8457134,0,90,0,0.705,1.064707208,11.93428258,False
TOI-2931.01,TPC,,0.0030227635752314,-0.0883514116804148,0.0910406782428055,0.0930221791658496,0.0913741752556463,0.0880179146675741,0.062289646,1.062289646,1,Premium (non-grazing),0.49759375,TOI-2931,6133.0,11.194,11.536,8.6681997,0,90,0,0.388,1.07322571,12.0297663,False
TOI-2932.01,TPC,,0.0004730976499137,-0.0430919970866734,0.0432681566580606,0.0451876730715476,0.0435650947365872,0.0427950590081469,0.077201036,1.077201036,1,Premium (non-grazing),0.5006041666666666,TOI-2932,7320.0,11.738,11.948,3.2569118,0,90,0,0.596,1.580386225,17.71451875,False
TOI-2938.01,TPC,,-0.0004286136561748,-0.1081929816142651,0.1087175408049583,0.1142607677139628,0.1077643679580903,0.1091461544611331,0.128569048,1.128569048,1,Premium (non-grazing),0.5016145833333333,TOI-2938,5516.0,10.474,10.787,4.942456,0,90,0,1.653,1.155993957,12.95751399,False
TOI-2939.01,TPC,,0.0011485200870333,-0.0729287555541341,0.0762831616414416,0.0786410304431013,0.0740772756411675,0.0751346415544083,0.098944429,1.098944429,1,Premium (non-grazing),0.4949895833333333,TOI-2939,6567.0,11.961,12.214,4.8306667,0,90,0,0.979,1.386119768,15.53698977,False
TOI-2942.01,TPC,,0.0028451625562398,-0.0432168667312514,0.0494783268359441,0.0491547724920662,0.0460620292874912,0.0466331642797043,0.068774995,1.068774995,1,Premium (non-grazing),0.4975625,TOI-2942,6442.0,12.002,12.318,3.525723,0,90,0,0.473,1.236813292,13.86341636,False
TOI-2945.01,TPC,,0.0007229166980907,-0.0407239599976108,0.0427630616731813,0.0438480775823698,0.0414468766957015,0.0420401449750906,0.074161985,1.074161985,1,Premium (non-grazing),0.49828125,TOI-2945,7438.0,11.886,12.138,3.2006677,0,90,0,0.55,1.509766058,16.92293866,False
TOI-2946.01,TPC,,1.6371253093238227e-05,-0.1191675788484754,0.1269171056508339,0.1307374866975997,0.1191839501015686,0.1269007343977407,0.140854535,1.140854535,1,Premium (non-grazing),0.4965520833333333,TOI-2946,4394.0,10.74,11.369,4.9186433,0,90,0,1.984,0.988512296,11.08021528,False
TOI-2950.01,TPC,,0.0004958017310842,-0.0540194816424769,0.0536485076666981,0.0564001639187794,0.0545152833735612,0.0531527059356139,0.077846002,1.077846002,1,Premium (non-grazing),0.4966354166666666,TOI-2950,6368.0,11.708,11.982,3.2690486,0,90,0,0.606,1.173098595,13.14923955,False
