Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction
WASP-160Bb,MCS,False,0.1883813252259191,0.0754697044835315,0.3119294862324516,0.1207067384399804,0.1129116207423875,0.1235481610065324,0.129,1.129,1,Premium (non-grazing),0.4968125
Qatar-4b,MCS,False,0.2829516005441181,0.1043074795388486,0.4935732514846729,0.2001835234815835,0.1786441210052695,0.2106216509405548,0.1379,1.1379,1,Premium (non-grazing),0.4934479166666666
TOI-2000c,MCS,False,0.596027849920831,0.4621029481952694,0.711475946561495,0.1422003558289248,0.1339249017255616,0.115448096640664,0.06581,1.06581,1,Premium (non-grazing),0.4980520833333333
TOI-1260d,MCS,False,0.5155679913059563,0.4016816270996021,0.6245288561781,0.1260778016495417,0.1138863642063542,0.1089608648721436,0.0425,1.0425,1,Premium (non-grazing),0.4933958333333333
L98-59b,MCS,False,0.5378718329018483,0.3232825827414966,0.7660272782899388,0.2112703752800073,0.2145892501603516,0.2281554453880905,0.02512,1.02512,1,Premium (non-grazing),0.4841145833333333
LTT1445Ac,MCS,False,0.8849555893792217,0.6725457297011739,1.0000944452352192,0.1947815670168503,0.2124098596780478,0.1151388558559974,0.0396,1.0396,2,Good (includes grazing),0.4196666666666667
HATS-55b,MCS,False,0.6466052862577514,0.49608271391345,0.7314553724712373,0.1413982695821228,0.1505225723443014,0.0848500862134858,0.1141,1.1141,1,Premium (non-grazing),0.4932916666666667
WASP-105b,MCS,False,0.0884752191903888,0.027640960121694,0.1546762578115287,0.0647696661371896,0.0608342590686948,0.0662010386211398,0.109613531,1.109613531,1,Premium (non-grazing),0.4941666666666666
XO-2Nb,MCS,True,0.1560500884533839,-0.0017630063935583,0.3359990615856908,0.1727506209348365,0.1578130948469422,0.1799489731323069,0.105112767,1.105112767,1,Premium (non-grazing),0.4931979166666667
TOI-954b,MCS,False,0.513737747335163,0.3343123691507033,0.7003719172323861,0.1804689174978901,0.1794253781844596,0.1866341698972231,0.0462,1.0462,1,Premium (non-grazing),0.4968749999999999
Qatar-8b,MCS,False,0.0866173892384285,-0.0002568058950119,0.1827258975266256,0.0963563676976513,0.0868741951334405,0.096108508288197,0.1005,1.1005,1,Premium (non-grazing),0.4952291666666666
TOI-125c,MCS,False,0.5092485030017918,0.3553139210465028,0.6523531397163677,0.1530484825406401,0.153934581955289,0.1431046367145758,0.02985,1.02985,1,Premium (non-grazing),0.49540625
TOI-178d,MCS,False,0.4717970976516782,0.3539176969138927,0.5752253625731607,0.12094533072754,0.1178794007377855,0.1034282649214825,0.03623,1.03623,1,Premium (non-grazing),0.4940833333333333
KELT-24b,MCS,False,0.0533591621130042,0.0043183736169973,0.1115379966528709,0.0562968777994253,0.0490407884960068,0.0581788345398666,0.087024,1.087024,1,Premium (non-grazing),0.4959791666666666
TOI-2076d,MCS,False,0.7586183716472572,0.5939519536756152,0.8520219549866509,0.14937733493729,0.164666417971642,0.0934035833393936,0.038,1.038,1,Premium (non-grazing),0.4835833333333333
TOI-1937Ab,MCS,False,0.8362828258157194,0.6478008960986285,0.9437680803410148,0.1680265106768086,0.188481929717091,0.1074852545252953,0.118652841,1.118652841,1,Premium (non-grazing),0.4830520833333334
WASP-116b,MCS,False,0.0681474515618916,0.0385419347522137,0.1025489546734264,0.0322454709820028,0.0296055168096779,0.0344015031115347,0.0881,1.0881,1,Premium (non-grazing),0.4969583333333333
GJ9827b,MCS,False,0.4680296682615081,0.314803128400813,0.6295720510595882,0.1600565394338319,0.1532265398606951,0.1615423827980801,0.0242,1.0242,1,Premium (non-grazing),0.4952291666666666
TOI-406c,MCS,False,0.6871879600166131,0.505382496816234,0.8491312949827914,0.1709816413724397,0.181805463200379,0.1619433349661783,0.0297,1.0297,1,Premium (non-grazing),0.4840104166666666
HATS-27b,MCS,False,0.3271936983312722,0.1557088278241298,0.5188784266105834,0.183885274605848,0.1714848705071424,0.1916847282793111,0.0895,1.0895,1,Premium (non-grazing),0.4935208333333333
TOI-858Bb,MCS,False,0.3940010191115513,0.2914528138746639,0.4893025354666934,0.108009326069196,0.1025482052368874,0.0953015163551421,0.098598754,1.098598754,1,Premium (non-grazing),0.4940833333333333
HAT-P-2b,MCS,True,0.4743614044198419,0.3013741531893792,0.6598468720644698,0.1789129970633838,0.1729872512304626,0.1854854676446278,0.07227,1.07227,1,Premium (non-grazing),0.4959166666666667
K2-129b,MCS,False,0.4027822379391777,0.1421337059852788,0.6862923199293786,0.2648850967470655,0.2606485319538988,0.2835100819902008,0.026595,1.026595,1,Premium (non-grazing),0.49028125
WASP-167b,MCS,False,0.7508669974862621,0.5901685876248669,0.8626165078091635,0.1572333493569132,0.1606984098613951,0.1117495103229014,0.090706728,1.090706728,1,Premium (non-grazing),0.4891354166666666
HAT-P-22b,MCS,False,0.4407653617311811,0.3166988404415668,0.5612529954241158,0.1285477969036106,0.1240665212896142,0.1204876336929346,0.1065,1.1065,1,Premium (non-grazing),0.4963333333333333
TOI-3785b,MCS,False,0.6150497315824441,0.4846297256517085,0.6990267365252842,0.1309360001137922,0.1304200059307356,0.0839770049428401,0.0962,1.0962,1,Premium (non-grazing),0.4937291666666666
WASP-90b,MCS,False,0.8082864075940559,0.6300048603769985,0.924760329586326,0.1634649511844957,0.1782815472170573,0.1164739219922702,0.084597564,1.084597564,1,Premium (non-grazing),0.4768020833333333
TOI-5126b,MCS,False,0.2249025025702664,0.1001424573394502,0.3628779976357095,0.1337696092785862,0.1247600452308162,0.137975495065443,0.03498,1.03498,1,Premium (non-grazing),0.4941666666666666
K2-33b,MCS,False,0.1548682789015659,0.0129971260070601,0.3117657720611282,0.1535665658330742,0.1418711528945058,0.1568974931595623,0.0432,1.0432,1,Premium (non-grazing),0.4929895833333333
KELT-7b,MCS,True,0.5800452137546847,0.4540139615135101,0.6754802955726331,0.131172250788242,0.1260312522411745,0.0954350818179484,0.09097,1.09097,1,Premium (non-grazing),0.4936666666666667
TOI-2120b,MCS,False,0.7411909062626135,0.5742001940489762,0.8792377452916071,0.1634716151006331,0.1669907122136373,0.1380468390289936,0.0796,1.0796,1,Premium (non-grazing),0.4841041666666666
TOI-2005b,MCS,False,0.6502385625691283,0.3855199389507738,0.8965968348899558,0.2361331285952153,0.2647186236183544,0.2463582723208275,0.05107,1.05107,1,Premium (non-grazing),0.4678854166666666
WASP-44b,MCS,False,0.5130716928548773,0.3739355136768054,0.6496942134704949,0.1457753362384551,0.1391361791780718,0.1366225206156176,0.1248,1.1248,1,Premium (non-grazing),0.4939479166666666
HD3167b,MCS,False,0.1734507117838511,0.0513660306068862,0.3137281625696513,0.1346615651086983,0.1220846811769649,0.1402774507858001,0.01712,1.01712,1,Premium (non-grazing),0.49128125
TOI-421c,MCS,False,0.8110730528646448,0.637804108836913,0.9274351313883336,0.1583625066964892,0.1732689440277318,0.1163620785236888,0.0542,1.0542,1,Premium (non-grazing),0.47459375
TOI-2328b,MCS,False,0.6895178312360545,0.5378304211458762,0.8044787562343975,0.1531069454545822,0.1516874100901782,0.1149609249983429,0.102,1.102,1,Premium (non-grazing),0.4933645833333333
WASP-113b,MCS,False,0.4596076416298863,0.3027518706409598,0.620690486892044,0.1624166880670946,0.1568557709889265,0.1610828452621576,0.090045164,1.090045164,1,Premium (non-grazing),0.4941875
TOI-1798.01,MCS,False,0.2350794849982408,0.0738482119915212,0.4209168095659141,0.1784882921217379,0.1612312730067195,0.1858373245676733,0.02764088,1.02764088,1,Premium (non-grazing),0.4961666666666667
TOI-2977b,MCS,False,0.0854496462028278,0.0087718482918366,0.1748493314183273,0.0850479973360456,0.0766777979109912,0.0893996852154995,0.112435594,1.112435594,1,Premium (non-grazing),0.4977395833333333
K2-34b,MCS,False,0.822286102819316,0.6468065906633809,0.9413025386793096,0.1634877830397437,0.1754795121559351,0.1190164358599935,0.0905,1.0905,1,Premium (non-grazing),0.47984375
TOI-451c,MCS,False,0.1239416515867183,0.0234568602422149,0.2364460195799797,0.1109310626264566,0.1004847913445033,0.1125043679932614,0.03237,1.03237,1,Premium (non-grazing),0.4943229166666666
V1298Taub,MCS,False,0.2855529766141588,0.1180075270428701,0.4756463352123528,0.1825675072945747,0.1675454495712887,0.190093358598194,0.0713,1.0713,1,Premium (non-grazing),0.4966458333333333
WASP-81b,MCS,False,0.1342279992680276,0.0385374696032092,0.2444353091066141,0.1058689385031302,0.0956905296648183,0.1102073098385864,0.114456646,1.114456646,1,Premium (non-grazing),0.49853125
TOI-3493b,MCS,False,0.1669951398865978,0.0401830868512418,0.3103694865108069,0.138754838532052,0.1268120530353559,0.143374346624209,0.024039577,1.024039577,1,Premium (non-grazing),0.49346875
TOI-1411b,MCS,False,0.2402814793330862,0.161596886874168,0.3217243185789209,0.0833107797199957,0.0786845924589181,0.0814428392458347,0.0179008,1.0179008,1,Premium (non-grazing),0.4961041666666667
