Star Name,Planet Name,Star Radius [Rs],Planet Radius [Rj],Planet Semi-major Axis [AU],Occultation_Probability
1136.03,1136.03,0.977727,0.2420817793459408,0.17161548341470428,0.027168742950235688
1136.04,1136.04,0.977727,0.2266759807149052,0.13716190804030295,0.033939558549547014
1158.01,1158.01,1.3,1.0358925828064678,0.03633817289826396,0.1799940472547495
1166.01,1166.01,1.12685,0.3381360081687461,0.030831604437373004,0.1752089283385963
1159.01,1159.01,2.08204,0.4712426693196441,0.017755080387007648,0.55801848941761
1168.01,1168.01,1.49567,1.575486694455324,0.034372166396956984,0.22426520078173035
1171.01,1171.01,2.0466,1.330923868824484,0.11773507958425988,0.08624181962042891
1170.01,1170.01,3.50078,0.9730858016281542,0.022476567909710508,0.7450112134646484
1174.01,1174.01,0.75865,0.2115196784535332,0.0774629658857302,0.046850272740596936
1173.01,1173.01,0.9554,0.8332871849997201,0.06748692710809016,0.07173655689081788
