Planet,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,k_rp_rs,Max Tier,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,dominant_regime
HAT-P-59b,False,0.8150933968366877,0.6373093267300982,0.9296579284336596,0.10452,2,0.03507,0.18373,0.7812,True Eclipse
WASP-90b,False,0.810941466783525,0.6332977910928802,0.9529956891923512,0.084597564,2,0.05345,0.1679,0.77865,True Eclipse
TOI-1294b,False,0.8353693356447849,0.6540025200670904,0.9796004842927786,0.05962695,2,0.07818,0.14475,0.77707,True Eclipse
TOI-1199b,False,0.8725928269985908,0.7959172374656122,0.9538989264210208,0.0663,2,0.01428,0.21617,0.76955,True Eclipse
TOI-4145Ab,False,0.7866715214648958,0.6213420995455632,0.8963776043793263,0.142001522,2,0.01868,0.21463,0.76669,True Eclipse
WASP-164b,False,0.804890249255333,0.6408590409229038,0.9164825535580998,0.1242,2,0.02765,0.20723,0.76512,True Eclipse
TOI-905b,False,0.8265971523085391,0.7632190917659323,0.8901045159576304,0.131083992,2,0.00087,0.24899,0.75014,True Eclipse
GPX-1b,False,0.8002762071391009,0.6220472575235274,0.9667692388333464,0.095,2,0.05636,0.20192,0.74172,True Eclipse
L98-59d,False,0.9045631680730404,0.8248100137349526,0.9835807310147272,0.0448,2,0.04203,0.21701,0.74096,True Eclipse
WASP-26b,True,0.8108786085326279,0.6275524621711591,0.9540509474412876,0.101920368,2,0.04997,0.21121,0.73882,True Eclipse
WASP-194b,False,0.8209879839957077,0.6436450771346198,0.9547744017153148,0.1007,2,0.04876,0.21994,0.7313,True Eclipse
K2-34b,False,0.8323618846822983,0.6599286952984457,0.9718990883954032,0.0905,2,0.0603,0.21612,0.72358,True Eclipse
LTT9779b,True,0.888695842011889,0.6935220055185684,1.0192144479962524,0.0455,2,0.13033,0.14848,0.72119,True Eclipse
WASP-192b,False,0.8174756687825013,0.6463462006848455,0.9768257009557344,0.095756138,2,0.05607,0.23055,0.71338,True Eclipse
TOI-836c,False,0.6654492057835764,0.2320107645406734,1.2429613460073874,0.0357,2,0.25622,0.04013,0.70365,True Eclipse
KOI-7368b,False,0.7779065471947898,0.3885941077311635,1.2343096113304517,0.043666,2,0.27657,0.06591,0.65752,True Eclipse
WASP-182b,False,0.8442042445603476,0.6112470395084745,1.1001715665132423,0.065185285,2,0.19143,0.16033,0.64824,True Eclipse
WASP-45b,False,0.8461396354133024,0.6658848628040441,0.9719720507527174,0.1137,2,0.05027,0.30546,0.64427,True Eclipse
HAT-P-27b,False,0.8437438642313752,0.6794568787629918,0.9738681981496776,0.12,2,0.04728,0.32524,0.62748,True Eclipse
TOI-1937Ab,False,0.8477321373617529,0.6676096915738452,0.9778709910901352,0.118652841,2,0.04682,0.33003,0.62315,True Eclipse
WASP-186b,False,0.8165556708651571,0.6499046002200982,1.148294964506703,0.078,2,0.22885,0.15511,0.61604,True Eclipse
TOI-4463Ab,False,0.8532336617831908,0.676028759405997,0.977881429592642,0.114471051,2,0.05021,0.33533,0.61446,True Eclipse
LTT1445Ac,False,0.9154142675032826,0.6832369549969501,1.0905824029935125,0.0396,2,0.23603,0.1628,0.60117,True Eclipse
WASP-157b,False,0.8745068383540444,0.681010112629829,1.0367069976511354,0.096509929,2,0.10056,0.31764,0.5818,True Eclipse
WASP-75b,False,0.8738800463481009,0.6973532115977584,1.0139874469171866,0.103578262,2,0.07938,0.35032,0.5703,True Eclipse
TOI-216.02,False,0.9044034548781013,0.8418274914408734,0.9803576988105756,0.0833,2,0.01344,0.41901,0.56755,True Eclipse
TOI-169b,False,0.8988209228370388,0.702668989448131,1.0249031161150153,0.0866,2,0.10074,0.35516,0.5441,True Eclipse
TOI-421c,False,0.9413100592968052,0.8692652683165979,1.017808438354776,0.0542,2,0.07365,0.40236,0.52399,True Eclipse
TOI-2158b,False,0.9440829807950758,0.8276842180332975,1.1092134167454757,0.07,2,0.21325,0.32703,0.45972,True Eclipse
WASP-183b,False,0.8728999528214552,0.6292671731665871,1.0883378841983,0.173434153,2,0.08876,0.49174,0.4195,Grazing Eclipse
WASP-67b,True,0.902156831480749,0.7087660012305651,1.0781878823319575,0.134292145,2,0.10627,0.48131,0.41242,Grazing Eclipse
WASP-168b,False,0.9111482713439536,0.705535719304253,1.0987725417954268,0.137628596,2,0.12208,0.48304,0.39488,Grazing Eclipse
TOI-2154b,False,0.9255269915046176,0.811152409607574,1.04331439837972,0.10693,2,0.06655,0.54685,0.3866,Grazing Eclipse
WASP-174b,False,0.9373811287176774,0.7337170544231615,1.0617058223269584,0.1098,2,0.11326,0.52085,0.36589,Grazing Eclipse
WASP-145Ab,False,0.9605994946572728,0.6801817201635256,1.2451851664641287,0.136009436,2,0.26149,0.37717,0.36134,Grazing Eclipse
TOI-4406b,False,0.9536605672301924,0.9082589641589454,1.0046081667512496,0.079,2,0.01271,0.74883,0.23846,Grazing Eclipse
TOI-5143c,False,0.9527354560851437,0.7511645075919898,1.0930886058616684,0.175,2,0.08902,0.67504,0.23594,Grazing Eclipse
Qatar-6b,False,0.8950192478083252,0.8364523342040789,0.9555919317285752,0.1516,2,0.00017,0.78588,0.21395,Grazing Eclipse
TOI-1273b,False,1.0122603171992983,0.8961016126135323,1.133893419449229,0.096,2,0.24738,0.56886,0.18376,Grazing Eclipse
WASP-34b,False,0.9891165649969113,0.9221578583313907,1.0567201797118422,0.134806963,2,0.01906,0.9508,0.03014,Grazing Eclipse
TOI-201b,False,1.2276650407810874,1.076470759676462,1.391575536357922,0.0789,2,0.83765,0.14345,0.0189,False Eclipse
BD-143065b,True,1.0064382286403577,0.9687828953950856,1.0433963210624224,0.0843,2,0.0175,0.97272,0.00978,Grazing Eclipse
TOI-1842b,False,1.2942061629091897,1.1547537965754755,1.4449914248693263,0.05571407,2,0.95905,0.03206,0.00889,False Eclipse
Gaia-1b,False,0.6650306036424828,0.5168029698260393,0.7982217520041828,0.132663172,2,0.0,0.0,0.0,False Eclipse
TOI-3807b,False,0.9496195686926324,0.7368995803166731,1.0998919661724815,0.115503018,2,0.0,0.0,0.0,False Eclipse
TOI-677b,False,1.80707386747176,1.6964146018201742,1.9148773530161856,0.09404,2,1.0,0.0,0.0,False Eclipse
WASP-53b,False,0.5466123639074624,0.4392961801836147,0.6260933414867135,0.138304666,2,0.0,0.0,0.0,False Eclipse
TOI-431d,False,0.1493488894968999,0.0656860532740913,0.253459804332068,0.04126177,2,0.0,0.0,0.0,False Eclipse
TOI-199b,False,0.583577909319756,0.158564894642741,1.2660031439985775,0.101509482,2,0.0,0.0,0.0,False Eclipse
Gaia-2b,False,0.7670684261907371,0.5969574302849104,0.8926538598100722,0.127680705,2,0.0,0.0,0.0,False Eclipse
WASP-124b,False,0.5832569430316186,0.4384238883932658,0.7430968997516813,0.124927186,2,0.0,0.0,0.0,False Eclipse
WASP-133b,False,0.2470439706715183,0.146492152303663,0.3531261928391984,0.086349201,2,0.0,0.0,0.0,False Eclipse
XO-2Nb,True,0.1921549820105833,0.0722613189023991,0.3552479213146476,0.105112767,2,0.0,0.0,0.0,False Eclipse
WASP-126b,False,0.272233822423911,0.1178519562966972,0.4689192195667788,0.07767888,2,0.0,0.0,0.0,False Eclipse
GJ436b,True,0.7128194980523712,0.6987865674094296,0.7260719325859478,0.082661852,2,0.0,0.0,0.0,False Eclipse
TOI-2796b,False,0.914246119631674,0.7064892950360907,1.0934706727322276,0.14803979,2,0.0,0.0,0.0,False Eclipse
