Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction
WASP-172b,MCS,False,0.43336479281573775,0.2621228184050951,0.6195985533010673,0.17894359859060446,0.17124197441064265,0.18623376048532952,0.084469851,1.084469851,1,Premium (non-grazing),0.49611458333333336
HATS-51b,MCS,False,0.32078516110703875,0.13404351918878973,0.5420223912032509,0.20543265233261032,0.18674164191824902,0.22123723009621216,0.101,1.101,1,Premium (non-grazing),0.49497916666666664
WASP-173Ab,MCS,False,0.27385518375210927,0.08924375090150159,0.4870470311361864,0.20276034091092285,0.18461143285060766,0.21319184738407715,0.1203,1.1203,1,Premium (non-grazing),0.4974895833333333
Kepler-138b,MCS,False,0.6902255944661684,0.5496816439145698,0.8027024425664953,0.2279298770726527,0.14054395055159863,0.11247684810032688,0.010967193,1.010967193,1,Premium (non-grazing),0.45896875
HD118203b,MCS,False,0.13758063338488988,0.028560762347393034,0.2564539464533072,0.11819688277698749,0.10901987103749684,0.11887331306841734,0.05541,1.05541,1,Premium (non-grazing),0.5001354166666666
WASP-136b,MCS,False,0.5690796478541584,0.4427297105906171,0.6787573082373325,0.13500115747334138,0.12634993726354132,0.10967766038317406,0.064,1.064,1,Premium (non-grazing),0.49378125
WASP-186b,MCS,False,0.8862199534930956,0.6952107013973157,0.9982179547126961,0.1667236779877432,0.1910092520957799,0.11199800121960057,0.078,1.078,1,Premium (non-grazing),0.46519791666666666
TRAPPIST-1b,MCS,True,0.09146274435673656,0.03366312416924476,0.1573483478069527,0.06280119799535909,0.057799620187491796,0.06588560345021614,0.0859,1.0859,1,Premium (non-grazing),0.4980520833333333
TRAPPIST-1c,MCS,True,0.10477309686057083,0.047676300314114683,0.1697573747321482,0.06203882713869979,0.05709679654645615,0.06498427787157736,0.0844,1.0844,1,Premium (non-grazing),0.49665625
TRAPPIST-1d,MCS,False,0.06781278144729626,0.016368749262736647,0.12552403269137336,0.05586426529702594,0.05144403218455961,0.0577112512440771,0.06063,1.06063,1,Premium (non-grazing),0.49937499999999996
TRAPPIST-1e,MCS,False,0.18183685346355105,0.12547239084902168,0.23872898050034835,0.058198910702257224,0.056364462614529376,0.0568921270367973,0.07079,1.07079,1,Premium (non-grazing),0.49471875000000004
TRAPPIST-1f,MCS,False,0.3068323865852556,0.23888043356922867,0.359777760179921,0.07078681140316634,0.06795195301602691,0.052945373594665446,0.0804,1.0804,1,Premium (non-grazing),0.49296875
TRAPPIST-1g,MCS,False,0.3725451229736429,0.2887965635433467,0.4372223839730581,0.3074439289115711,0.08374855943029619,0.06467726099941523,0.08692,1.08692,1,Premium (non-grazing),0.4657604166666667
TRAPPIST-1h,MCS,False,0.3704349301950838,0.2883509214019977,0.4319824305581283,0.08559083689749467,0.08208400879308608,0.061547500363044516,0.05809,1.05809,1,Premium (non-grazing),0.4947083333333333
WASP-148b,MCS,False,0.22641810064076828,0.13662342011135406,0.3209362185909788,0.09303461008369276,0.08979468052941422,0.09451811795021053,0.08498,1.08498,1,Premium (non-grazing),0.4997708333333333
GJ341b,MCS,False,0.27839670573550074,-0.0013439899812424728,0.594012898138,0.29777564681473023,0.2797406957167432,0.3156161924024992,0.016,1.016,1,Premium (non-grazing),0.4902291666666667
TOI-5882b,MCS,False,0.1814516013491183,0.05101547666591029,0.3280899875742919,0.1425852890087869,0.13043612468320803,0.1466383862251736,0.0465,1.0465,1,Premium (non-grazing),0.49496875
LHS1678c,MCS,False,0.4157933743577074,0.26976682974679594,0.5698433680421693,0.152014327409401,0.14602654461091147,0.15404999368446187,0.0262,1.0262,1,Premium (non-grazing),0.49526041666666665
Kepler-444e,MCS,False,0.2761870936892864,0.09741224283838024,0.4829422017761789,0.19446037764801738,0.17877485085090616,0.20675510808689251,0.00664,1.00664,1,Premium (non-grazing),0.4969479166666667
WASP-62b,MCS,True,0.23351739888073952,0.1326480451995288,0.3413890754498609,0.10489764672360857,0.10086935368121072,0.10787167656912139,0.106745735,1.106745735,1,Premium (non-grazing),0.4982395833333333
WASP-89b,MCS,False,0.10054854557465845,0.014503969635523088,0.19692986139453722,0.09397854774225085,0.08604457593913536,0.09638131581987877,0.12144681,1.12144681,1,Premium (non-grazing),0.49830208333333337
XO-7b,MCS,False,0.7154512026059683,0.5551470972806282,0.8199162944749171,0.1525954623096924,0.16030410532534012,0.10446509186894881,0.09532,1.09532,1,Premium (non-grazing),0.4902708333333333
K2-415b,MCS,False,0.3246843385885994,0.12679098553778223,0.552355344864107,0.21566848907595257,0.19789335305081718,0.22767100627550757,0.0472,1.0472,1,Premium (non-grazing),0.49172916666666666
HATS-13b,MCS,False,0.22936724361644606,0.1475810994997463,0.32442943740568814,0.0888478999926889,0.08178614411669977,0.09506219378924208,0.1402,1.1402,1,Premium (non-grazing),0.4962916666666667
Qatar-7b,MCS,False,0.07377821616328109,-0.0013264943644418052,0.1592474727083665,0.08384416853309365,0.0751047105277229,0.08546925654508541,0.11,1.11,1,Premium (non-grazing),0.49478125
TOI-1248b,MCS,False,0.567540486858363,0.40807710058062047,0.7235346968573204,0.16390210338697464,0.15946338627774254,0.1559942099989574,0.07186602,1.07186602,1,Premium (non-grazing),0.493
HAT-P-60b,MCS,False,0.6564267766283236,0.5224401059245829,0.7471775368338092,0.1369290249890862,0.1339866707037407,0.09075076020548556,0.07622,1.07622,1,Premium (non-grazing),0.49296874999999996
HATS-3b,MCS,False,0.47877567923162045,0.37703072532506243,0.5554522015325646,0.10729184703233438,0.10174495390655802,0.07667652230094413,0.1011,1.1011,1,Premium (non-grazing),0.49346875
TOI-3568b,MCS,False,0.14890224808319097,-0.09630684417299355,0.42518226180980273,0.273488486180631,0.24520909225618454,0.27628001372661176,0.067,1.067,1,Premium (non-grazing),0.49746875
HD77946b,MCS,False,0.441126727595044,0.20177867145187123,0.6942851248354651,0.24082176296286964,0.23934805614317278,0.2531583972404211,0.0189,1.0189,1,Premium (non-grazing),0.4914791666666667
TOI-150.01,MCS,False,0.30610591664893794,0.15431798323853982,0.4714948016409292,0.15917595199757195,0.15178793341039812,0.16538888499199128,0.0826,1.0826,1,Premium (non-grazing),0.49962499999999993
WASP-72b,MCS,False,0.5428934644491334,0.3225620630766389,0.7765848639250997,0.21936149033029523,0.22033140137249452,0.2336913994759663,0.0656,1.0656,1,Premium (non-grazing),0.48409375
HAT-P-43b,MCS,False,0.18183736910566228,0.07447303370697124,0.3016332069198971,0.11348919423432578,0.10736433539869104,0.1197958378142348,0.1193,1.1193,1,Premium (non-grazing),0.49723958333333335
TOI-169b,MCS,False,0.8827541524074343,0.6909176117674257,0.9835529171930258,0.16553279914893468,0.19183654064000855,0.10079876478559158,0.0866,1.0866,1,Premium (non-grazing),0.4671770833333333
HAT-P-15b,MCS,False,0.2767643303713563,0.1909575091248367,0.370204640827728,0.09173406463835032,0.08580682124651959,0.09344031045637174,0.1019,1.1019,1,Premium (non-grazing),0.49776041666666665
Wolf327b,MCS,False,0.456082043690146,0.353994652917658,0.5342858540508718,0.10460889103421998,0.10208739077248796,0.07820381036072582,0.028,1.028,1,Premium (non-grazing),0.4945833333333334
TOI-700c,MCS,False,0.8684053511959968,0.6703876904469973,1.0018069367343154,0.3039262251151759,0.1980176607489995,0.1334015855383186,0.0573,1.0573,2,Good (includes grazing),0.4000520833333333
TOI-3235b,MCS,False,0.49915497572811574,0.3948575434344075,0.5724119554010441,0.10817245439286248,0.10429743229370825,0.07325697967292832,0.2828,1.2828,1,Premium (non-grazing),0.49353125
K2-198b,MCS,False,0.4766075589366079,0.3686042254826037,0.5516053408914106,0.10866707448742415,0.1080033334540042,0.07499778195480267,0.039,1.039,1,Premium (non-grazing),0.4940416666666667
WASP-69b,MCS,True,0.670783551012074,0.5281974318850173,0.7851517631492764,0.14867668515535964,0.14258611912705665,0.11436821213720239,0.133604131,1.133604131,1,Premium (non-grazing),0.49546875
TOI-1296b,MCS,False,0.12116924562192007,0.025852123505495834,0.22628934936988512,0.10380980524123226,0.09531712211642424,0.10512010374796506,0.07599,1.07599,1,Premium (non-grazing),0.4953854166666667
XO-5b,MCS,False,0.5303885043021612,0.4197737721335628,0.6226045472609302,0.12026111132581346,0.1106147321685984,0.09221604295876895,0.1039,1.1039,1,Premium (non-grazing),0.49463541666666666
WASP-181b,MCS,False,0.32388100801597713,0.1766590905596888,0.4850245983192553,0.15634079922171923,0.14722191745628835,0.16114359030327818,0.126083958,1.126083958,1,Premium (non-grazing),0.49590625
HATS-65b,MCS,False,0.6458170723198772,0.48937965151071894,0.7426408180893987,0.14790103943083538,0.15643742080915823,0.09682374576952157,0.1181,1.1181,1,Premium (non-grazing),0.4953854166666667
TOI-1452b,MCS,False,0.17287095874895989,0.046758292737843724,0.31867154960866123,0.14018937978147614,0.12611266601111615,0.14580059085970135,0.055740764,1.055740764,1,Premium (non-grazing),0.4980416666666666
KELT-6b,MCS,False,0.20317624769738313,0.05668677017101317,0.3723423240012543,0.1621283321126619,0.14648947752636995,0.16916607630387115,0.07761,1.07761,1,Premium (non-grazing),0.4960833333333333
TOI-1836b,MCS,False,0.44550001929923233,0.3182337474849954,0.5786004263932184,0.1366143092750096,0.12726627181423694,0.13310040709398607,0.04651,1.04651,1,Premium (non-grazing),0.4972708333333333
HATS-58Ab,MCS,False,0.6374552696959669,0.498488348770402,0.7517474755707633,0.14575135262822808,0.1389669209255649,0.11429220587479638,0.0786,1.0786,1,Premium (non-grazing),0.4925625
K2-3b,MCS,False,0.2952520272224603,0.14602217968944184,0.4472865512154143,0.15194296259608916,0.14922984753301846,0.15203452399295397,0.0349,1.0349,1,Premium (non-grazing),0.49811458333333336
HAT-P-18b,MCS,False,0.31475434990334994,0.2114885236073345,0.42390086126871396,0.1099750103420203,0.10326582629601544,0.10914651136536402,0.1365,1.1365,1,Premium (non-grazing),0.4948854166666667
HD207496b,MCS,False,0.3900766300930303,0.11905950456347818,0.6913745600888194,0.27522237110906705,0.2710171255295521,0.3012979299957891,0.02663,1.02663,1,Premium (non-grazing),0.4908958333333333
WASP-45b,MCS,False,0.8297493188723148,0.6461436342689478,0.9420637909801026,0.1635452998552621,0.18360568460336701,0.11231447210778778,0.1137,1.1137,1,Premium (non-grazing),0.481
TOI-1789b,MCS,False,0.9135802773011954,0.7030824953817484,1.0050260776608002,0.16867757323355728,0.210497781919447,0.09144580035960481,0.068,1.068,2,Good (includes grazing),0.45367708333333334
K2-198d,MCS,False,0.03068243099392896,-0.0824492183540626,0.15451448756985742,0.1244214255371095,0.11313164934799157,0.12383205657592845,0.022,1.022,1,Premium (non-grazing),0.49753125
WASP-94Ab,MCS,True,0.17510382570450095,0.0730090925279073,0.29695628393293794,0.11251280349991732,0.10209473317659365,0.12185245822843699,0.10970611,1.10970611,1,Premium (non-grazing),0.49694791666666666
TOI-2193Ab,MCS,False,0.9432733927652132,0.7387692226827519,1.0505665182028163,0.1761083562623661,0.20450417008246125,0.10729312543760317,0.145745154,1.145745154,2,Good (includes grazing),0.46314583333333337
