Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_minus_k,one_plus_k,acceptance_fraction
TOI-3078.01,TPC,,-0.00033848839240139893,-0.01570811744438329,0.014569931119867482,0.015736789037916917,0.015369629051981892,0.014908419512268881,0.053478968,0.946521032,1.053478968,0.49783333333333335
TOI-3080.01,TPC,,-0.004015982726194222,-0.06688829017403576,0.062119073463744706,0.06792468250551688,0.06287230744784154,0.06613505618993892,0.094286797,0.905713203,1.094286797,0.4956875
TOI-3081.01,TPC,,0.002965379847470712,-0.041054575103988494,0.04843945496358452,0.04691823710464061,0.0440199549514592,0.04547407511611381,0.066407831,0.933592169,1.066407831,0.49466666666666664
TOI-3086.01,TPC,,-0.007616141543318553,-0.2144311294912427,0.2038396253872213,0.2192538943504046,0.20681498794792416,0.21145576693053986,0.042661458,0.957338542,1.042661458,0.49626041666666665
TOI-3087.01,TPC,,0.001358063565238579,-0.06398987422203314,0.06693171140837166,0.06936074452235473,0.06534793778727173,0.06557364784313308,0.088147603,0.911852397,1.088147603,0.49328125
TOI-309.01,TPC,,0.0017258294537721916,-0.11756147749202914,0.12395256038496852,0.12836820826027617,0.11928730694580134,0.12222673093119632,0.113335835,0.886664165,1.113335835,0.4969895833333333
TOI-3090.01,TPC,,-0.002740377788676726,-0.13251190061946083,0.1343356172584979,0.14143403255531384,0.1297715228307841,0.13707599504717463,0.089777503,0.910222497,1.089777503,0.4934270833333333
TOI-3091.01,TPC,,0.000429412141382784,-0.05169146217744625,0.05370614736195651,0.05491708082733092,0.05212087431882904,0.053276735220573725,0.124418648,0.875581352,1.124418648,0.49783333333333335
TOI-3092.01,TPC,,-0.004894130516857033,-0.11118238300798884,0.10059522778514149,0.11055365685765786,0.1062882524911318,0.10548935830199851,0.084320816,0.915679184,1.084320816,0.4941770833333333
TOI-3093.01,TPC,,-0.002165842559102087,-0.07102386391029676,0.06546291600435433,0.07171574337485984,0.06885802135119468,0.06762875856345642,0.089944427,0.910055573,1.089944427,0.49538541666666663
TOI-3095.01,TPC,,-5.8637043703015275e-05,-0.08970059058513834,0.08925217647850697,0.09520499295248655,0.08964195354143532,0.08931081352220999,0.097159662,0.902840338,1.097159662,0.49423958333333334
TOI-3098.01,TPC,,0.0018049395636863738,-0.07447725146369329,0.07715340837434648,0.08076696480303383,0.07628219102737965,0.0753484688106601,0.125227087,0.874772913,1.125227087,0.4978645833333333
TOI-3099.01,TPC,,-0.001955493992933939,-0.06926211841452012,0.06624066945432361,0.07285622864240492,0.06730662442158619,0.06819616344725754,0.136674797,0.863325203,1.136674797,0.4984166666666667
TOI-310.01,TPC,,0.0002063558726694421,-0.0706636071517567,0.07085604319027551,0.07324164382431703,0.07086996302442614,0.07064968731760607,0.09279218,0.90720782,1.09279218,0.49511458333333336
TOI-3103.01,TPC,,-0.00011966273857408536,-0.07171960682818773,0.07701208140664745,0.07883259926102773,0.07159994408961365,0.07713174414522153,0.088034084,0.911965916,1.088034084,0.49454166666666666
TOI-3104.01,TPC,,-9.537687221227475e-05,-0.18633703649429742,0.18583188829153605,0.19632215737438352,0.18624165962208514,0.18592726516374833,0.079624117,0.920375883,1.079624117,0.4974270833333333
TOI-3105.01,TPC,,-0.0022853197396974245,-0.09560111505200809,0.09534317135518193,0.10186904047871576,0.09331579531231067,0.09762849109487935,0.04494441,0.95505559,1.04494441,0.49790625
TOI-3106.01,TPC,,0.000618191471310743,-0.036670359885295385,0.039601146654906744,0.03991245125972359,0.03728855135660613,0.038982955183596,0.067007462,0.932992538,1.067007462,0.49715624999999997
TOI-3107.01,TPC,,0.002553739949035309,-0.057023675079710345,0.06322168842375406,0.06370725639364617,0.05957741502874565,0.06066794847471875,0.111534748,0.888465252,1.111534748,0.4975104166666666
TOI-3112.01,TPC,,0.00017060991504436993,-0.06987145980697199,0.0702659490363375,0.07397372967312382,0.07004206972201636,0.07009533912129312,0.108765803,0.891234197,1.108765803,0.4980833333333333
TOI-3114.01,TPC,,1.2975646006602546e-05,-0.07568375684038932,0.07682596222398795,0.0802600030545774,0.07569673248639593,0.07681298657798134,0.095603347,0.904396653,1.095603347,0.4941875
TOI-3116.01,TPC,,-0.0007358692844060764,-0.032822758686042015,0.03154620845603799,0.0337202212275787,0.03208688940163594,0.032282077740444066,0.059358802,0.940641198,1.059358802,0.49622916666666667
