Planet,eclipse_observed,b_occ_median,k_nominal,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,b_mean,b_std,k_mean,k_std,dominant_regime
TOI-2154b,False,0.9255269915046176,0.10693,0.06655,0.54685,0.3866,0.9279305568760721,0.12653743013147942,0.10693046830054716,0.0009245382306024352,Grazing Eclipse
WASP-174b,False,0.9373811287176774,0.1098,0.11326,0.52085,0.36589,0.9105812870915353,0.20606376462265852,0.10980100889826881,0.002994817490501051,Grazing Eclipse
NGTS-9b,False,0.9293129140123276,0.08,0.04771,0.50129,0.451,0.9306948160795196,0.09287562689016819,0.07999128663745744,0.004019620852933296,Grazing Eclipse
WASP-183b,False,0.8728999528214552,0.173434153,0.08876,0.49174,0.4195,0.8674029801833733,0.2529685603889048,0.1734501721673078,0.014229213694971697,Grazing Eclipse
WASP-168b,False,0.9111482713439536,0.137628596,0.12208,0.48304,0.39488,0.9052057536635807,0.2319239562358126,0.13762444933139592,0.0042728501360367694,Grazing Eclipse
WASP-67b,True,0.902156831480749,0.134292145,0.10627,0.48131,0.41242,0.8966576833934813,0.22028712465529085,0.1343035370761563,0.0033441239335086064,Grazing Eclipse
K2-31b,False,1.01939055013055,0.135,0.3016,0.45322,0.24518,1.0158105786670233,0.2731624117368794,0.13505090186443483,0.04470333626570651,Grazing Eclipse
TrES-3b,True,0.824682053124169,0.1655,0.02127,0.43054,0.54819,0.8003907143257102,0.18503856962803156,0.1654933531778366,0.001998252337085322,True Eclipse
TOI-216.02,False,0.9044034548781013,0.0833,0.01344,0.41901,0.56755,0.9094854351448456,0.07431418575715472,0.08324361243347721,0.013267108708536389,True Eclipse
WASP-93b,False,0.8890562172830394,0.107685045,0.0802,0.40459,0.51521,0.867310406758195,0.2053335108701411,0.10768781504883249,0.0006044929193248051,True Eclipse
TOI-421c,False,0.9413100592968052,0.0542,0.07365,0.40236,0.52399,0.9438957163419655,0.07819656307703954,0.05419897372658608,0.0010558582274902619,True Eclipse
WASP-145Ab,False,0.9605994946572728,0.136009436,0.26149,0.37717,0.36134,0.9721717707845963,0.3223539584487236,0.13596334378632413,0.009537243682453915,Grazing Eclipse
TOI-700c,False,0.9506898504018232,0.0573,0.15777,0.37372,0.46851,0.9544280907405824,0.10732041864241063,0.05729126663338773,0.0019060209040215968,True Eclipse
TOI-2368b,False,0.8544429591341562,0.11742,0.00514,0.35536,0.6395,0.8524324874766969,0.08418227367601586,0.1174237665016394,0.0006937966365739908,True Eclipse
TOI-169b,False,0.8988209228370388,0.0866,0.10074,0.35516,0.5441,0.8776285664903293,0.20275069323505296,0.08660315269890154,0.004526755836035963,True Eclipse
TOI-1518b,True,0.8856063462310504,0.0988,0.08545,0.3534,0.56115,0.8618166164991429,0.2005553644201581,0.09880233572901037,0.0013633208311993642,True Eclipse
WASP-75b,False,0.8738800463481009,0.103578262,0.07938,0.35032,0.5703,0.862330343660113,0.2011118392826621,0.10358190715835182,0.0014493574065062157,True Eclipse
TOI-1789b,False,0.9434735519793712,0.068,0.1866,0.34623,0.46717,0.9219816213719207,0.21524031598107993,0.06798033353657243,0.008908654214363576,True Eclipse
TOI-4463Ab,False,0.8532336617831908,0.114471051,0.05021,0.33533,0.61446,0.8360425865448763,0.18806371483362974,0.11448072875696533,0.0032627739489784285,True Eclipse
TOI-1937Ab,False,0.8477321373617529,0.118652841,0.04682,0.33003,0.62315,0.8289046257489463,0.18918600261583746,0.11863082304595764,0.006739989365997834,True Eclipse
TOI-640b,False,0.8807881677278221,0.08738,0.0084,0.32967,0.66193,0.8798107982983203,0.08078452885683435,0.08738001826009167,0.0008854192595867904,True Eclipse
TOI-2158b,False,0.9440829807950758,0.07,0.21325,0.32703,0.45972,0.9642778954019267,0.16622997872368364,0.06999973148937191,0.000901527233990593,True Eclipse
HAT-P-27b,False,0.8437438642313752,0.12,0.04728,0.32524,0.62748,0.8304225100212619,0.19014003866394422,0.12005502886680572,0.008031701936870897,True Eclipse
WASP-157b,False,0.8745068383540444,0.096509929,0.10056,0.31764,0.5818,0.8639522565706081,0.209697970717266,0.09650473891656393,0.0018122330311313686,True Eclipse
TOI-837b,False,0.8962599408313624,0.0798,0.10151,0.31422,0.58427,0.8777331844482411,0.1989103078072965,0.0798072742617663,0.002750861356860259,True Eclipse
WASP-45b,False,0.8461396354133024,0.1137,0.05027,0.30546,0.64427,0.8277779288671955,0.1917465338531091,0.11371359967835229,0.002572825944424097,True Eclipse
