Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction,Star Name,Star Temperature [K],Star H Mag,Star J Mag,Planet Period [days],Eccentricity,Inclination,Impact Parameter,Transit Depth [%],Planet Radius [Rjup],Planet Radius [Re],Planet Transit Temperature [K],Planet Eclipse Temperature [K],observed_flag,abs_b_occ_84,abs_b_occ_median,lower_grazing,upper_grazing,grazing_depth
L98-59d,MCS,False,0.860328565810783,0.6736575800208775,0.9676759967122622,0.1619735268958739,0.1866709857899054,0.1073474309014792,0.0448,1.0448,1,Premium (non-grazing),0.4587708333333333,L98-59,3415.0,7.359,7.933000088,7.450737,0.074,88.449,0.922,0.211793089,0.13569476,1.52099995,417.1124239,417.1124239,False,0.9676759967122622,0.860328565810783,0.9552,1.0448,0.012475996712262183
TOI-2158b,MCS,False,0.8100573738559255,0.63023035883081,0.9425527660185417,0.1672391756863746,0.1798270150251154,0.132495392162616,0.07,1.07,1,Premium (non-grazing),0.4800729166666667,TOI-2158,5673.0,9.172,9.468999863,8.60077,0.0,85.7,0.86,0.489525283,0.96,10.7606215,1188.079111,1188.079111,False,0.9425527660185417,0.8100573738559255,0.9299999999999999,1.07,0.012552766018541717
Kepler-1658b,MCS,True,0.8761645961336713,0.6690863401979184,0.9767929861729912,0.1656165693197109,0.2070782559357529,0.1006283900393198,0.0369,1.0369,1,Premium (non-grazing),0.4503645833333333,Kepler-1658,6216.0,10.266,10.47500038,3.84937278,0.0628,76.52,0.9471,0.144657934,1.07,11.99360938,2181.832453,2200.340709,True,0.9767929861729912,0.8761645961336713,0.9631,1.0369,0.013692986172991195
TOI-421b,MCS,False,0.8869394597997942,0.6731867134798588,0.9862578387305664,0.1676554534891689,0.2137527463199353,0.0993183789307723,0.0285,1.0285,1,Premium (non-grazing),0.4408333333333333,TOI-421,5325.0,8.219,8.546999931,5.19672,0.163,85.68,0.933,0.079573863,0.23909359,2.679995443,1089.55496,0.0,False,0.9862578387305664,0.8869394597997942,0.9715,1.0285,0.014757838730566353
TOI-1199b,MCS,False,0.826343513078089,0.6494979325156747,0.9514636409612076,0.1642744716597889,0.1768455805624142,0.1251201278831186,0.0663,1.0663,1,Premium (non-grazing),0.4746770833333333,TOI-1199,5710.0,9.542,9.829999924,3.671463,0.03,83.23667498,0.849,0.441916848,0.938,10.51402393,1503.770484,1466.399655,False,0.9514636409612076,0.826343513078089,0.9337,1.0663,0.01776364096120764
TOI-1431b,MCS,True,0.8589117852625275,0.6594331222977736,0.9419814080156496,0.1634298542325473,0.1994786629647539,0.083069622753122,0.07955,1.07955,1,Premium (non-grazing),0.47296875,TOI-1431,7690.0,7.452,7.540999889,2.650237,0.0022,80.13,0.881,0.5797,1.49,16.70138129,2398.626604,2393.613138,True,0.9419814080156496,0.8589117852625275,0.92045,1.07955,0.021531408015649567
WASP-182b,MCS,False,0.7765756373077837,0.5638940235744369,0.9564611830993034,0.1878886155618191,0.2126816137333468,0.1798855457915197,0.065185285,1.065185285,1,Premium (non-grazing),0.47071875,WASP-182,5638.0,10.519,10.83100033,3.3769848,0.0,83.88,0.775,0.426,0.85,9.527633621,1383.792675,1383.792675,False,0.9564611830993034,0.7765756373077837,0.934814715,1.065185285,0.021646468099303373
GPX-1b,MCS,False,0.7899274326902767,0.6079156435241985,0.9298629767517188,0.1691859911290663,0.1820117891660782,0.139935544061442,0.095,1.095,1,Premium (non-grazing),0.4785729166666667,GPX-1,7000.0,11.221,11.357,1.744579,0.0,79.9,0.82,0.9,1.47,16.47720167,2290.469969,2290.469969,False,0.9298629767517188,0.7899274326902767,0.905,1.095,0.02486297675171878
TOI-4145Ab,MCS,False,0.7861526632358105,0.6211449115968266,0.887030806251019,0.1570505500067835,0.1650077516389838,0.1008781430152085,0.142001522,1.142001522,1,Premium (non-grazing),0.4899791666666666,TOI-4145A,5281.0,10.38,10.77499962,4.0664428,0.0,86.2,0.8,2.015,1.187,13.30506013,1074.849193,1074.849193,False,0.887030806251019,0.7861526632358105,0.8579984780000001,1.142001522,0.02903232825101898
WASP-164b,MCS,False,0.8042993412650163,0.6382936605114345,0.9067059602084152,0.1572824842072147,0.1660056807535818,0.1024066189433989,0.1242,1.1242,1,Premium (non-grazing),0.4866666666666667,WASP-164,5806.0,11.04,11.36499977,1.77713687,0.0,82.73,0.8216,1.542,1.128,12.64373026,1610.29467,1610.29467,False,0.9067059602084152,0.8042993412650163,0.8758,1.1242,0.030905960208415184
