Planet Name,Star Name,Pocc_median,Pocc_16 (lower),Pocc_84 (upper),Uncertainty Range,Transit_depth_median,Transit_depth_16 (lower),Transit_depth_84 (upper),Transit_depth_ppm,Transit_depth_source,Eclipse_depth_median,Eclipse_depth_16 (lower),Eclipse_depth_84 (upper),Eclipse_depth_ppm,Planet_Teq_K,Planet_temp_source,TSM_median,TSM_16 (lower),TSM_84 (upper),ESM_median,ESM_16 (lower),ESM_84 (upper),Reliability Score,Data Quality,MCMC Converged
1015.01,1015.01,1.0,1.0,1.0,0.0,0.0008317523101333835,0.0007286118548447467,0.0009532393123379901,831.7523101333835,calculated,0.000377030864781925,0.0003302776011267389,0.00043210056394948253,377.030864781925,4018.147047952864,dataset,2.901029971095091,2.4472590926793125,3.457551687339345,65775981.015108585,57619508.77415131,75383320.42762096,1.0,High,True
4330.01,4330.01,1.0,0.9874140795921847,1.0,0.012585920407815254,0.0003340901945545332,0.0002904072808266087,0.0003853038262848625,334.0901945545332,calculated,7.566633137513034e-05,6.577281794838762e-05,8.726543752249275e-05,75.66633137513034,3370.646437617844,dataset,5.830596346479618,4.870228025964186,6.969684506388336,52827880.13675298,45920536.646711595,60926015.438284665,0.9874140795921847,High,True
5596.01,5596.01,1.0,0.9769550046182247,1.0,0.02304499538177529,0.0040154100895948095,0.003482076656579828,0.004619650913500423,4015.4100895948095,calculated,0.0008174218677152983,0.0007088505384605794,0.0009404278999277137,817.4218677152983,4140.61610103399,dataset,8.188012881486806,6.826957935497383,9.771213903944867,66161296.934907906,57373643.65923001,76117280.42815228,0.9769550046182247,High,True
2058.01,2058.01,1.0,0.9550699108914336,1.0,0.04493008910856644,0.000655623656437953,0.0005673415086681633,0.0007528280791592942,655.623656437953,calculated,0.00013761783753459493,0.00011908708723343068,0.0001580214064454364,137.61783753459494,3359.3039733410487,dataset,8.937622501818627,7.417782215749857,10.612051428528968,28960607.830839716,25060954.98134391,33254380.848656908,0.9550699108914336,High,True
2249.01,2249.01,0.991154463870147,0.945711185536199,1.0,0.05428881446380096,0.0007892354946077144,0.0006847451783425454,0.0009058711016784313,789.2354946077144,calculated,0.00016034906143425764,0.00013911975249343694,0.00018404593043138792,160.34906143425764,3344.788617200171,dataset,13.458520266398416,11.235266009481162,16.07377493390011,33157189.369530804,28767365.004867077,38057259.041126326,0.9452266862101188,High,True
2852.01,2852.01,0.9810382640127602,0.9341489574152968,1.0,0.0658510425847032,0.0018734180488990193,0.0016201419812327052,0.0021508522262991938,1873.4180488990194,calculated,0.0003596485958303736,0.0003110260355069257,0.00041290889851399836,359.6485958303736,3729.965695677328,dataset,9.862337201144115,8.157547964887128,11.76730646482518,23187837.490881287,20052966.285371456,26621720.61363236,0.9328761731317682,High,True
456.01,456.01,0.13830340389103368,0.13360723396401256,0.14328649593972356,0.009679261975711007,0.9419133740361807,0.819230125283395,1.0751899849015794,941913.3740361807,calculated,0.0009955844474659181,0.0008659105965686972,0.001136455279801569,995.5844474659182,1042.1845328665052,dataset,559.5542293683645,466.2027266225779,660.002432084446,74022157.08432873,64380847.21325172,84495967.62475164,0.9300142895735445,High,True
472.01,472.01,0.3360061158242593,0.32358075955537924,0.3481180279766075,0.024537268421228275,0.19774343448388304,0.17155913108507415,0.2270953764986301,197743.43448388303,calculated,0.002316002557938231,0.0020093278316306185,0.00265977717156339,2316.002557938231,1106.6625859990854,dataset,113.8237445067276,94.55005351424406,135.88252215845796,90741742.33812115,78726125.64511,104210944.82455184,0.9269737446265355,High,True
5205.01,5205.01,0.11753405731681482,0.11302948068963421,0.12221095991187822,0.009181479222244007,0.0627452992795759,0.05459044139415227,0.07205791159938754,62745.29927957589,calculated,0.00012065462571528418,0.00010497342987712208,0.00013856209873365198,120.65462571528418,683.0848481139209,dataset,98.21716791729988,82.072541273818,117.17154188125811,2611535.6857455326,2272120.580160095,2999137.939299817,0.9218823936495684,High,True
4666.01,4666.01,0.10043997450135955,0.09650122415642554,0.1045127469492184,0.008011522792792866,0.038750902900116416,0.03370064369230175,0.04461508264050437,38750.902900116416,calculated,5.933966800210199e-05,5.1606152592442195e-05,6.831954854311072e-05,59.339668002101995,725.2008127544102,dataset,56.189363799811375,46.764614499210964,66.97837417263679,1758015.1439826044,1528899.6523704308,2024055.8299818723,0.920235714589071,High,True
